"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Nrdc",-2.06377637020932,7.13987207639498,-13.2333287004761,0.0000000732396476943565,0.00000264042868279412,8.59109070865523
"Crat",-3.87595592618471,4.44467122483957,-12.9431061301013,0.000000091212409396016,0.00000317309547077493,8.55081828148185
"Slc20a1",-2.17836747080158,6.80505573707109,-13.0608787552911,0.0000000833968709819785,0.00000293472212455739,8.49958835335755
"Mfsd2b",-3.13828272638048,6.22645593273653,-13.1160931405815,0.0000000799868307515942,0.00000282982271511328,8.49649068655303
"Fbxo3",-2.01812017776278,7.51460935561666,-13.1312442984872,0.000000079077895737749,0.00000280242379486941,8.48601959269618
"Arih2",-2.28629932104267,6.36041291590929,-12.9565690580893,0.0000000902798259355252,0.0000031459047037533,8.47432442614423
"Sidt2",-3.15244173839579,5.51700912834887,-12.8181028317141,0.000000100390759789092,0.0000034577564503886,8.43005170505626
"Rlf",-2.58111649082992,6.82929110352246,-12.9159303960027,0.0000000931270469459702,0.00000322355714993377,8.39052000571546
"Ubn2",-2.20394992894122,7.29694096307687,-12.9870109935395,0.000000088209199574524,0.00000308406594082874,8.38016461915874
"Cast",-2.27564551849936,6.67954407679435,-12.8694673537599,0.00000009650284136351,0.00000333440625655538,8.36420551358064
"Fbrs",-3.22323409337585,4.57298700199251,-12.694244581065,0.000000110486773241264,0.00000373834127590469,8.35929371079888
"Trim12c",-2.59289344632408,5.93594584403313,-12.7437884188147,0.000000106321314858181,0.00000363796971923608,8.35244120526035
"Septin1",-2.87825679208388,5.66740644985608,-12.7023939025593,0.000000109789557651049,0.00000373212855192914,8.34883075714203
"Cd59a",-4.31321863410783,4.0709016711817,-12.6953866003607,0.000000110388777595675,0.00000373834127590469,8.33593613753788
"Atxn2",-2.85782826186795,5.26734915412619,-12.691184878755,0.000000110749791229606,0.00000374036328953408,8.33511657910097
"Fam76a",-2.96029518450166,5.29259612830012,-12.6817167566895,0.000000111568022700567,0.00000376190041591329,8.33006193544415
"Psap",-2.05713728701254,7.83485081992807,-12.9617340189483,0.0000000899248101489921,0.0000031387825693211,8.32899561651561
"Vcam1",-6.13117541357053,4.04057036181897,-12.867489725828,0.0000000966494567117501,0.00000333440625655538,8.32566497821485
"Mark3",-2.2999098685124,6.51806628580976,-12.7831330448727,0.000000103135284435578,0.00000354058164261709,8.31126356375239
"Parp14",-2.31390075862763,6.57340613697225,-12.7280453015649,0.000000107626074306571,0.00000367657727278741,8.29306947220992
"Itgam",-3.52513788113332,5.94184715019558,-12.5933247453457,0.000000119532804175393,0.00000397895299266268,8.24518127332283
"F830112A20Rik",-6.0555564879118,3.23850339394999,-12.7084219012474,0.000000109276918024832,0.00000372077192451218,8.21099581761406
"Safb2",-2.56330345100362,6.40104360315541,-12.6381059977078,0.000000115422880274419,0.00000387932577283603,8.20311638110141
"Pfkfb2",-2.891238019049,4.69075259955713,-12.4904556300716,0.000000129591021030575,0.00000429319188590641,8.19788093520443
"Pabpc4",-2.12894505955831,7.47656808076464,-12.8028061163367,0.000000101581365432952,0.00000349299091236281,8.18751216531649
"Sp100",-2.59540545016053,6.48749771513611,-12.6044187221796,0.00000011849996785871,0.00000395445461587904,8.17883411737526
"Diaph3",-2.18206742841434,6.93981007864855,-12.6939680021565,0.00000011051052048936,0.00000373834127590469,8.17737360232914
"Cmtr1",-2.11450359597249,6.5703025896927,-12.6061924403416,0.000000118335740585561,0.00000395445461587904,8.16388338320028
